text,is_Error
"All I can say is I LOVE LOVE LOVE ALIEXPRESS, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - ALWAYS CHECK OUT REVIEWS THEY HELP SO MUCH!!! - Well worth the wait for shipping. Vendors are great and if there is a problem (which doesn't happen much), AliExpress works with purchasers and refunds cost including shipping if appropriate.",1
Amazing,0
For the years I've been on AliExpress I've ONLY had a handful of negative experiences. The overall experience has been positive. Let's hope they keep it going in a great direction,0
I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.. different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us the facility of cash on delivery. ?,1
Good,0
Nice,0
My favourite app,1
Great service.,0
Good deals but too long shipping time could it be Faster ??,0
Awesome,0
I'm very satisfied with their service. This is the best online shopping app I have used so far. Highly recommend,0
"Was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open dispute, send the seller a message nor contact the support team. You just end up losing your money!This is very irresponsible of Ali express in short thus is cheating!",1
"The delivery is extremely poor! very poor indeed.Even if an order is delivered by foot from overseas, it cant surely take over 4 months.Other online business platforms like kilmall are exemplary. Ali Express you need to have a total turnaround.",1
Package was in perfect condition. Shipping was faster than expected..,1
New customer. Little bit wary at first but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago but the tracking info on the app is pretty informative. Waiting on the others...,1
👍👍,0
Fair and good,0
Amazing,0
So reliable.,0
Very nice,0
Worst customer support. Bloody robot dont let you chat with agent and doesn't answer to queries. Disputes are pending from three months but Aliexpress is sleeping,1
Awesome and user friendly,1
Useless.. fake,1
Super,0
Love it,0
Great,0
Excellent,0
"They have really good stuff, I've just had a lot of problems with shipping :( It usually takes 2-3 months to get something delivered.",1
Amazing selection,0
Totally satisfied with shipping time and product's in which I have purchased.,0
Very good,0
Very good Shopping Apps,0
Is ok,0
🙃🙂,0
😊,0
Good app you can get anything you want at any store at your convenience time,0
Best app,0
Very bad experience buying in this platform. Delivery is often more than 30 days and up to 55 days. Dispute is handled by robot and no real people behind it. Return shipping for faulty item is paid by the buyer and most of the time is expensive and not worth it. The price published for a product is often based on the lowest forex rate so that the item look cheaper. So many manipulations inside this platform. I would advise anyone not to buy from this platform.There are better platforms out there,1
I just had an amazing experience with AliExpress,0
Very good site easy to use,0
"Yep really good until use it a few more times. Thanks. Tony,",1
Trusted and reliable Fast and cheap Accurate and sure,0
Very useful,0
"The app is convenient but, items are too small to see correctly. This makes it hard to choose the right colors. The app is a little difficult. I also encountered a clip of porn in one of the product streams. I like using the computer better than the app.",0
I love how they have so many products!,0
Good,0
Easy to look for anything needed,0
nice,0
Its good,1
Excellent,0
It's simply the best,0
"Yeah, it's alright",0
I am using yahoo more than 15 years and happy to use it in the future. Thank yahoo.,0
Convenient,0
Works for me.,0
Very good 👍,0
Easy to work and read,0
Great!,0
I order all the time from Affirm their pretty reasonable and their fair,1
Great!,0
Very effective and quick,0
"This is absolutely the worst email app out there. I'm very disappointed I actually thought that Yahoo after all these years would have had their act together when it came to providing good reliable and fast and accurate email. Just to give you a for instance when I try to delete an email, I can't get rid of it, and it takes two or three tries before it's finally deleted. This email app by Yahoo has a lot of glitches and bugs in it. The bottom line is I don't recommend that you install this.",0
It's email...,0
I can't open links on my email I have updated and reinstall it and still having trouble trying to open a link on a email li yes I do have Tmobile but I never had problems with it,1
Its working satisfactory.,0
Very satisfied,0
Serves my needs very well.,0
Good experience,0
I love how easy it is to navigate my mail now. The folders I can make are wonderful. Highly recommend this email.,0
Ok email,0
Great,0
Excelentes,1
"I have been using this app a few days, but I really like it. Sometimes it's a bit slow, but it is easy to use and allows for organized email.",0
The best,0
TOO MANY HOOPS TO JUMP THRU FOR VERIFICATION. BROKEN APP,1
Yahoo has improved so much more,0
Great functionality and stability!,0
Great app!,0
"I am using Yahoo mail from last 20 yrs ,good service and easy to understand format",1
Well designed for lazy people! Very easy and convenience!,1
Thank you Yahoo! Mail 💌,1
It's nice n good app.,0
Too good,0
Great 👍,0
notices come in twice I only need them once,1
Very easy to use,0
"Have had it forever, has not let me down yet!.",0
The best email provider in my eyes,0
No issues. Works well,0
Abcd,1
Very user friendly and I feel that my information is secure,1
This app used to be great but the last 3 days I have not been able access my emails. Everytime I try to open an email the app kicks me out. I have uninstalled and reinstalled the app but the same thing. Please fix this,1
5 stars,0
Very easy to use and understand,0
Very seldom have trouble with it.,0
Thank you so much. Free email apps.,0
Exelente 👍🏻,1
Excellent service,0
"Works well, easy to use",0
Thank you I appreciate this app its been a great tool for me✌I can always count on this app to work🙏,1
Useful,0
So far no issues,0
Good,0
Too many advertisements. It's very annoying.,0
Rubbish,0
Happy,0
Very interesting and convenient to use. Totally user friendly,1
Very fantastics,1
OK,0
Great job Wii use it more!,0
Outstanding app,0
"This app is extraordinary and very very helpful for daily day today life Sending group messages, informations, urgent and immediate details and very handy app for all ages and all times",1
Very good,0
Seems to have fewer glitches now,0
Useless,0
Amazing and win 🏆👏,0
Totoka,1
Very reliable,0
Ad buttons are none responsive,0
Ok,0
Smooth,0
I enjoy all that yahoo has to offer,0
"You have Fixed Contacts save System, instead of Contacts List save as per our customised matched.",1
Good then before though Improving slowly...,0
Great tool to keep in touch with individuals and businesses,0
Not for me.. too many ads. its distracts me too much. I forget why I opened my emails in the first place 😐,1
Highly appropriate and useful.,0
"Your app keeps crapping out, I have to keep checking my emails constantly for new emails. The icon notifications will randomly show that I have emails. I can't open up my sent out email box. It keeps kicking me out of the app completely every time. I've uninstalled the app several times to refresh the app, I've cleaned out the caches several times. What is going on with this app?",0
Great App!,0
Good,0
"I'm sick of it asking me to review it when I reviewed it years ago. Also, I now need a VPN to properly read my emails in China 😔",0
"I Love using yahoo mail. It's always been fun, convienient, and robust to use.",1
Gives me the ease of use I like and allows me to have another email address to use for various outlets.,0
Very usefull,1
Very useful.,0
Awsome,1
bugs all the time. I constantly have to open the app from the app store.,1
Ive been with yahoo since early 2000. Loyal to yahoo,1
Been using it since 2006. Never a problem.,0
Good,0
This app has really approved and works very well.,0
Perfect app! 🌟,0
Enjoy keeping up with the mail,0
Very good,0
No me gusta,1
Works great,0
Great,0
I have no complaints as of yet..,1
Great as always,0
You are REALLY TRULY REAL TRUE WORDS ARE AAAAAAAAAWWWWEEEEEESOME AND COOOOOOOOOOOL AND RIGHT THERE IF SOMETHING IS WRONG,1
তথছ,0
Waist of time,0
Keeps alook out at all times,1
Nice app,0
Christlife123!,0
I love it it's doing it's job,1
Ok,0
Good,0
Works,0
"It's unobtrusive, but when it detects a problem, I can decide what I need to do to fix it. It is extremely helpful.",0
Keeps me from daining my battery and getting rid of unnecessary apps.keeps my phone safe,1
Great,0
Good,0
I like the apps it works and it's quick to get things done and no problems!!,1
It's been good.,0
Good,0
This is very satisfying ft.slayypoint,1
Chinna,1
That is so fun and can get so much fun,0
Too good,0
Good,0
maganda,1
Amazing :-\👌🔥,0
Super game,0
Very Butiful good game,1
Super,0
Nice superb,0
Bro i am from thoothukudi good game yaah!!,1
Nice game but it can be improved,0
Good game,0
😢👩‍🍳,0
I remember this game when I was 6 years old and it was amazing 🎮,1
Not downloadin fast That's all,1
I like the game,0
It took to long to load and when it loaded the game was so bad I realised theirs a 2nd version of this but that also sucks this is one of the worst game and I uninstalled it.,1
Dogwater,1
This game is so amazing,0
so very cute,1
Nice app,0
If half brick studios reply to this comment with we are sorry they are g&y,1
LOVE THIS GAME,0
Hiii the best way Gauges 😝😝😝😝😝😝😝😝😝😝😝,1
Good,0
Hatdog,1
One of the best games of all time,0
AR..😮😊,1
"This game is not responding at all and my phone is hang and it started to become flickering because of this game.when i uninstall this game,my phone back to normal .This is the reason for giving 1 star.(my phone is samsung galaxy J7)",1
Like the upgrades and missions,0
"I can't install the game, it won't let me.",0
always liked this game,1
It is a really good game a bit better than the old one,1
So cool am game,0
Very addictive and super fun,0
Very nice game I'm like to this game thank you realize this game I'm not like game but now this the first time l like this game my name is akib l thank for you please send me the all game,1
Идите на улицу и знакомьтесь. Не в коем случае не платите за данное приложение!,0
Good,0
Fake app it has blocked my account three different times when it doesn't go against the regulations i am very pissed about it i have contacted you guys with an email and you don't seem to get back to me so I'm uninstalling it you guys are fake,1
Great app,0
"Seriously, what's the point in putting filters on when they get taken off after about 2 swipes!!!",0
Simply give user yellow card warning or account being blocked without any justification! Any false report will simply lead to other peoples account closed what the hell app is this!!,0
Bad app,0
"So far better and a good app, need to add video group messaging and share any important news with us.",0
So so app only.,1
Cool and nice i actually met my wife there,1
"Hello. As a girl and a valid user of this platform, I am unhappy with your customer support deciding to PERMA ban my account based on one small community guideline breach, that was NOT expected, at all. See, since you advertise Instagram links on your platform, it came to my mind that I could just POST a small Twitch link in my bio. However, you guys said that that is such a HUGE community guideline BREACH that you just can't unban my account, and your front support desk THREATENED ME that if I even make another account with another PHONE NUMBER I will get banned again. Does this sound valid to you? I've used thousands of apps, and none of them had such harsh penalties for one small guideline breach, rather they would just inform you that you can't post links there. First, you did not make it clear at all, and second you're perma banning people just because of their lack of knowledge. I just want to say that any normal user like me would never bother reading guidelines, to say the least, and second, if you've just informed me that I've breached the ToS, I would never do it again. That's how Instagram works. They warn their users, because they CARE about their user's lives. You clearly DO NOT CARE because all you're in for is the money and treating people like TRASH. Now, since I am a Business woman myself, I will suggest your management team investigates this, since I believe this mistake was probably your POOR support desk's work, but if noone sends this matter to your management, I would be happy to find it myself, and have a little talk. :) Thanks!",1
None yet,0
Im 74 dont give out. Card. For prove of age,1
"Always smiling and laughing, fannies and jokes",0
Payment for credit is better with airtime,0
"You really shouldn't let MEN pose as women, I'm tired of searching through the swipe options and seeing dudes with full on beards, idc if that's what they identify as, I shouldn't have to see it if I don't want to.",1
I like this app but I don't agree with having to pay for people that like you and there ghosted out.,1
Good so far hoping it gets better soon,0
good,0
"if you pay for a one day pass they will charge you everyday without your consent, be very carefull with their services",1
I love this app if you're popular basically everything is free,0
"Why has my account been blocked, yet am over 18,so far am not practising any commercial activities you guys are unfair",1
"My account has been blocked. I don’t know why I was just trying to get friends, hoping to get my account back. I taxted you in email",1
Well,0
excellent,0
"They will steal 65$ dollars from you too.. Not a free app. Mantly troll girls also, soliciting webcam & more.. junk",1
Good,0
Guys are upgraded my app yesterday for one day and I cancelled but you keep getting my money why please stop cashing my money,0
4 Year are Goo,1
It's good ✌️,0
Nice,0
"Отличное нововведение со статусом прочтения. И однажды узнал, как знакомой дали пожизненный премиум вообще ни за что.",0
والله للصراحة تطبيق حلو وحقيقي لكن دفع المصاري ليش؟؟؟,0
Cool,0
جميل,0
perfect,0
"Just when I was getting to meet people and make friends then wow I account was blocked for violating rules ,which I know very well that I did not do not pleased with this please fix it",1
Excellent,0
Some things are expensive but good app,0
Error.. network unavailablr,1
It's brilliant i wonder if you could my account a few years ago i payed 59 99 yet for some reason you i do not have everything i thought it was for life so sorry for asking this thank you.,1
"I have been restricted from logging into my account, why?",0
This app is a very good app all you need to do is to follow the rules and enjoy the app,0
"Extreme shortage of quality women. Like extremely endangered species shortage. Filter system is lame. Can't choose ethnicity or if they have kids or not, so all I'm seeing are single moms who don't speak English. For some reason, it also resets after a couple of swipes. Very frustrating and a WASTE OF MONEY.",0
"95%fake profiles, no1 will talk to you 2-16-20 After you pay to activate premium they still want you to pay more for credits,. So basically they lie for what activating premium does.! 7-3-19 4-18-19 still no email response! Says the persons location is semi close to you then when you start chatting after liking eachother there real location shows up, thousands of miles away.! Great scam guys.11-19-19 Even if you block someone it still notifies you when they come online smh",1
Can't cancel my subscription,0
"Super chafa, no hay nadaaaa bueno",1
As not on to much haven't had to much luck in same interests or compatibility or vibes.,1
"Would stay aways from this app , distance is a lie and a load off Philippines people trying to get money out off you lol Dodgy app",1
Good dating site,0
I loved ♥,0
Hey why can't i connect to the app after updating it. Before it worked just fine now its always offline.,1
I'm an attractive guy but never got a message. It's all prostitute's,0
Lovely it's worth the download I've met many wonderful people from different parts of the globe and I'm looking to meet alot more,1
Correct app,0
"Wasting time , hundred choice no one contact no one sending message",1
Easy to connect with people,0
Thanks a lot,0
Nice,0
Great,0
Lovely 💋♥️⚽,0
"i have been using this app since 4 years, its good, but i dont like the new latest update version and its policies, because we cannot see notification about seen messages, and the likes in search area are limited now, before its limit upto 600 or more then it, but now just after 20 or 30 likes they request to charge, you should change this policey for to make a lot users, because in poor countries people cannot pay a lot money for it, so, they can enjoy as your free offers, kindly change it,",1
Good,0
Nunca he pagado y se ha conseguido,1
Good app,0
👍,0
Ads Ads Ads,0
Badoo is wonderful. Thank you very much,1
"Good app, I like it 😁👍",0
I got everything I want here,0
Wonderfull,1
Not too Bad,0
No room on phone to add apps! Unable to check your matches!,0
Not cool. What a trap. I get that you need to make money on it. But seriously.,0
Good,0
If i could five this app -1 i would.. very bad at rewards and if you pay they trick you into spending more money.. sat next to a fellow badoo user and both liked each other... it wont match like they suggested.. uninstall...,1
Brilliant app,0
"I've had this app for as long as I can remember; this time I get on it or just check out my stuff and I get a blocked account or something else has happened, just help me out will you",0
Very good true to their word. Great experience,0
I like it very much... very good app,0
Good,0
"Honestly. Just a terrible dating app. No way to shut down profile when done with it, unless you pay.....So basically all profiles are old or fake or nasty. What a scam for data",1
"What have you done to the game before I loved it and today when I was going so see the brand new update it took 2 hours to download plus I did have 78% available storage and then when it all ""downloaded"" I agent to install it and I got a notification from Google play store clear up space can't install app I checked my storage 96% storage and I can't get rid of it I don't know where it is so I guess you deserve a one star for what you did to the game and there goes my account.👏👏",1
Yfu,1
Text my girlfriend a really fun game that you can enjoy for a long time on,0
Overall a good game there's just two small problems 1. It takes up way to much storage 2. I don't like how you have to buy most of the things,1
This is a fun game that you can invest a lot of time into without getting bored,0
very good game no glitches no lags .also support low end phones 😁😁😁😁,1
Coming lots of update But nothing comes new Bad experience,0
My opinion this game is the best,0
Its taking so long to download its been 1hr and its on 34%,1
"While some mobile gamers may think this game might be too mature for younger kids to play, I think I can handle the violence elements thanks to my best friend's advice.",0
It takes way to long to dowalond,1
"You really need to fix your game because it's full of Glitches and Aimbot, like i used to enjoy the game but it's impossible to play matches when people have to cheat to win so until you fix the problems I'm done.",1
I like it very much you should make a game in multiplayer so you can drive cars,1
Goood games,1
Nice 👍👍👍,0
this game is amazing and alot of fun but the bad thing is that WHERE IS THE LOGIC ON AN AXE SWINGING FASTER AND A KNIFE!,1
Pehle game banana seekh lo game me itni problem h abhi abhi bilkul uninstall karke aa raha hun apna review change karne aya hun kyon banaya jab banana nahi ata h aur launch Watson karne ja raho pehle ise to fix karlo koi bhi install mat karna wahiyat game h bilkul,1
Nice game,0
I love this game,0
Was a great game before the recent update,0
I have updated this game 100% but it is still not getting an option of install or open,1
Game is good but need to download each and every map after every update from the beginning that sucks,0
Wow exceptional game considering it's played on my phone. Pretty heavy usage creates heat on the phone,1
Super cool game,0
Very very very good game .But u don't make very very good maps .But u made this game very very good,1
It's ok.,0
The best game i played in mobile but it will be good when you could add story mod,1
Na sulla lo game lavalaga vundi updates vachinappudu nundi Ee sari updates daridram yevadu develop chasado kani aadiki oka dandam,1
The best game 🎮 📱 ever I have played this is very nice game there are no glitches like other games means free fire and pubg . I love this game 🤩 so much 🤩💖🤩💖. My level is 122 my id is CLSG4B . I was legendary in previous series I will come in legendary after some days ☺️ thnx for making this 🎯 🎮 game.,1
It's awesome I like it alot,1
Giorgi is gay,0
Yeet,0
Worst experience when it comes to matchmaking always teams me with literally bot temates while other team is mostly full stacked or 3 man squad I'm tired of carrying teamates every round I'm losing my interest of playing this game By the way I'm playing this game from beta pls fix matchmaking,1
Been playing the game for a really long time now. Maybe CP points should be made free because people buying custom guns are irritating as thier fire rate and damage levels are far higher than,1
The best,0
"I REQUEST COD M DEVELOPERS TO WORK ON GAME OPTIMIZATION, JUST DONT LOOK AT HIGH-END MOBILE GAMING, THERE ARE LOT OTHER BUDGET PHONES. JUST TESTING IN IPHONE OR ROG ETC., HIGH END PHONES NOT GONNA SHOW ANY ISSUES, TEST IN ACTUAL 3-4GB RAM PHONES WTH 600 SERIES SD. *MARK MY WORDS COD M GONNA BE DOWN SOON BECAUSE OF NEW MATCH MAKING UPDATE.*",1
Great game. Its almost like the original only rhung missing is the story mode and zombie mode,1
Best game ever love this game,0
Please send me more gift in codm My id VLGAMERZ,1
I love the skin all you guys created i also love the new maps my name is fall673 can you guys send me a free skin plz I will like your channel like all you videos,1
best mobile game just wish you guys can add zombies back and can add the tranzit map hope you guys can add it on the next update,1
"This game is cool , i even dont have lags on my samsung! And plese add clan war and clan weapons , i started play this game from SESONE1 2O19 !!! plese....",1
All perfect except for when your hurt and can't heal at that moment!!!,0
The update has glitching bugs,0
فقط یه کلام عالی,0
"Really fun game, only problem is you need a really good phone to really enjoy it",1
How big are your updates ? Even after 100% it keeps on downloading additional files,0
Good and high and other level graphics,0
This game is fun,0
I CAN LLAY THIS GAME UNTIL THE DAY I DIE. THATS HOW GOOD IT IS,1
"New update have many glich ,many time i observe that when i hit any emeny with sniper gun or other normal gun then it not give any damage to enemy. One time I had empty my LMG gun on enemy but no any damage show on enemy . Please solve this issue.",1
Nic,1
Bad experience this app sometimes doesnt open even if u have good network,1
The best game for ur phone.,1
They let someone pirate my account! Been playing since 1.10.19,0
Too much glitches and errors.. multiple times loading.. everytime reconnecting.. but pubg is smother in playing as cod,1
Good,0
The battle royal is fun you can kill so many people and i always win,1
"great game very upscale out rank the rest. I'm really the best out here, no one can beat me no ones out doing me, I'm despicable, his sunny listen lol no he's cash play with clay, he bull wrinkle no he's underdog on hum-du-ahmen...lol excuse me God for cursing..see ya on the battle field latenights.",1
"This is indeed a very nice game, but an second choice in absence of pubg. Somehow the game play, map and premises is not very engaging. Very hard to understand the weapons and there upgrades.",1
Great👍👏😊👍👏😊👍👏😊😊👏👍 7🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰10,1
Pls fix the server issues,0
Hoho,1
Thoda realistic ki zaroorat hai,1
Awsome as i said awsome😎,1
🙂🙂🙂,0
Love the game great game did a good job keep up the good work,0
Fail and fail and fail again. You care about the money.,0
Best mobile game ever but I wish there was a campaign mode and u could see other players skins and also can u make so u don't have a battery on the night vision goggles in attack of the undead,1
Good experience 😉😉,0
Love this game,0
Good,0
Consecutive updates have kinda ruined the game I moved to my poco X3 8gigs of ram and snapdrgn 732g. Runs well but while playing BR mode it blacks out when there are enemies around us and huge fps lag takes place when nearby enemy makes any movement. Fix this..,1
So fun,0
It is the best comando game..,1
💸💸,0
Gooood game ❤️❤️❤️❤️ Big like👍👍👍👍,1
Hooked,0
Purchased 70 cod points...transaction happened bit the purchase didn't...still no response from ACTIVISION ( 2 days) ....its not abot 70 rupees its about the service...will uninstall if dont get an update soon.:/,1
Good,0
I really like it.,0
a couple bugs in zombies but over all good game and please change the night vision thing it should make you stop moving it should change on and off not make you stop moving it's annoying and make the game make me want to break my skull open with a hammer,1
BEST GAME DUT I THINK THAT YOU CAN GIVE US SAME LEGHANDRAYR SKIN,1
Pog,1
I like this game this game my dreams game tank you call of duty.,1
"Love this game easy to play great graphics and great controls. Everything is amazing love the new skins. Yeah love the multilayer modes they really good and easy to play. Love the guns. There is a lot of lag in the game sometimes I think that could be improved. I think the game would have been better if you had left zombies, everybody liked that game but now it gets boring sometimes without the zombies to play. Why did you remove zombies?Personally that was my favourite game. Please add it back.",1
have to keep updating it for new seasons and everytime it takes up so much storage that its hella laggy. other than that it's the best game of cod on a phone.,1
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👌,0
Super game but some times I felt that UI is somewhat confusing other than that everything is great,1
It is really fun to play and season 2 is amazing but only problem is one of my accounts was removed for no reason i am reaching out to you activision in twitter and here to get my old accounts back that is the only problem i have with the game.,1
Poor App,0
It's cool😁😁😁😁😁😁😁😁😁😁😁😁😁,1
This new update made the game worst. It doesn't get started and shows network error while my network is full. Problem is in the game and it puts blame upon the network.,1
It would have been nice if all had got epic items. But indeed it is the best game,0
This game was so awesome and better than pubg,1
"Call of duty mobile is definitely one if the best mobile games because good graphics/animation , Frequent updates , tons of game mode ect. Very smooth",1
I jst love it,1
The game is good friendly and I have never had any problems with anybody cheating or hacking so the game is fun and most people are clean players not hackers and I'm 14 and I don't rage at this game,1
It's amazing it's cool keep doing updates on Call of Duty mobile they are for Keenan,1
Going on .....need more br maps,1
What does at backpack what does Deepak does Condors are there is one more billions Dee bag I'm curious what does back does cuz there's actually no bu showing on the back,1
Nice,0
Ranakashif,1
Superb hd quality videos,1
Not very great content. Movies are old. No originals.,0
Very nice,0
Good very,0
Nice game ever played Pewerash.......💥💥💥💥💥💥💥💥💥,1
It's awesome,0
This is the best football game ever,0
Downloading Is🚮,1
This game is awesome but when you have been playing it's gone say you have to update and it's not update then I removed and download again,1
The best game I ever played,0
It is good and the grapics are good,1
Good game control.,0
BEST GAME EVER! Best Graphics and not even a bit lag. I Love This Game Very Very Much. Just fantastic.,1
Awesome game,0
"Worst experiences, offside decision was very very crucial, sometimes onside also given offside, and many unfair situations",1
"Such a realistic football game. but some more development should be needed, eg:match referee ,line up,and especially take the action against the persons those who are making null during the match .",1
Super,0
Good game.,0
Nice game,0
"It a worst game, I never win champaign match again why even no cup match",1
"It's a good game, but i can't open it after the apdate",1
Good game but online mode needs improvement in gameplay because it's full of cheaters.,0
nice,0
It is a fun game but the fool system is broke I tackle a guy I got the ball first and they give him a penalty,1
This is fantastic,0
"The game is good. Graphics is good. However, needs some work with the game play..key size modification would be much welcome. The direction key can be improved. Little more improvement in other gameplay aspects like auto switching. Thoroughly enjoy playing it. The above mentioned changes would be much much welcome",1
Good game,0
Good game,0
The game performs so much better now. I don't know what's happened but keep up the good work,0
My pes 😆😆,1
Nice,0
"I consider this game as not only one of the best games but the BEST game in gaming world..it realistic nature ,so fantastic.but one think i could wish is the introduction of table format instead of level format.",1
I love the game,0
Goooood,1
Great game iloveit,1
Online mode is very terrible... Please fix that issues.... Please bring more events please😖😖🙆‍♂️🙆‍♂️🤦‍♀️,1
"1st: poor control configurations and interchanging from an event to another. 2nd: many controls on the screen, some times you be playing and you don't see what you playing cause of the limited screen. 3rd: slow player movements which make it not nice.",1
Pwover👍👍👍😁,1
"Game noob,player noob,control noob,this game is stupid",1
I love pes more than i can describe but we who select location USA initially do not get some feature.... Is there any good news for us near future.,1
Very good,0
Null is still a great problem which remains unsolved,0
Good application for footballers,0
"I love 💕 this game 🎮🎮 ,,but the only problem is online play ... Can u please fixed that problem",1
Great,0
When i plaing pes was wander full it is a nice game,1
Good,0
The best game i have ever played 😍 Awesome graphics. Even i can play at 60fps..in my phone... Thanks... Luv from kashmir,1
Good game,0
For last update we need to add friend and chat,0
2 star for good graphics.but day by day very irritating to face many lag cheaters and connection lost problem while in good network in online matches. don't download .worst ever cheating game.they do nothing to stop it😒,1
It is good game,0
Nice game,0
"I think the hand the problem.It annoying to me,please fix it and i give full stars.And you guys have to try this game,it is amazing,real graphics and others",1
Too much lag and scripting...🥲,0
"It's a good game, I personally I love it, except for the fact that you must have data bundles to access and save your scores after each game and also the gold coins are difficult to earn which makes it difficult to sign a player of your choice",0
Why my account lag,0
Thank you pes you alw make me saty out of berod,1
Very very very nice game.This is very nice,1
"It become more worst this recent update. All my passing game is not accurate at all. There are always problem with the pass. I know thats the problem because before this all my pass to the players are correct amd accurate. Now it become worst and shittest. Stupid game and even when i shoot the ball, the keepers can save it easily and it not make any sense. Worst and worst. Stupid game",1
"I issued a complaint yesterday and it was fixed today, am really impressed and apart from that, PES 21 is totally Phenomenal",1
My favourite 🎮 game,1
Very good experience for me a good game is this my favourite game i am all time playing this game,1
Nice gameplay and graphic but the control button are a bit messed up. 1. Cancellation of button pressed not possible. 2. Most times defenders tacles instead of clearing the ball. 3. Players switch instead of passing etc. Please work on the switching of attack/defence button.,1
Amazing game👍,1
Fantastic game ever,0
The game is brilliant but there are many things which needs are to be added and some improvement. First of all i would like to say that there should be a tournament and leagues in the game and players are so much expensive so please add these features that i have said,1
Good game I don't actually have it before but how my friends say it make me anxious and I tried downloading it It's a very good game,1
"Better one..but why need data during playing it,",1
😍🤗🤣😅,0
Good Game,0
Best game ever,0
Very beautiful game I like it,0
Its excellent,0
Not data transfer,0
Fantastic 😌,0
Ok,0
🕶🕶🕶🕶🤯🤯🤯🤯,0
The good game in my career doooper football game,1
Not a good game..i lost my id always..many update come but this one can do anything,1
this game is really good but my only issue with this game is that the online matches are always interrupted with a connection problem even if the internet connection is fine.,1
Why these developers are sticking on the tour system atleast they should have added league system Secondly online matches aren't fair in this game and no system to punsih the lag cheaters,1
